id	timestamp	humidity	temperature
1	1634996420.7218378	44	20
2	1634996426.332796	44	20
2	1634996431.2168887	44	20
3	1634996438.0273454	44	20
3	1634996441.2507713	44	20
4	1634996456.452303	44	20
4	1634996460.942597	43	20
5	1634996467.0238478	43	20
5	1634996470.5880077	43	19
6	1634996476.8816109	43	19
6	1634996483.7422755	44	19
7	1634996489.9979756	44	19
7	1634996493.8802402	44	19
8	1634996503.482138	44	19
8	1634996507.8355417	44	19
9	1634996520.1242878	44	19
9	1634996525.1913457	44	19
19	1634996546.598691	45	19
19	1634996553.4286013	45	19
18	1634996566.1522622	45	19
18	1634996571.7648385	45	19
17	1634996581.9017036	45	19
17	1634996588.3843977	45	19
16	1634996594.5021586	45	19
16	1634996599.6788638	45	19
15	1634996607.6407325	45	19
15	1634996611.9208653	45	19
11	1634996629.434085	45	19
12	1634996638.2980442	45	19
11	1634996647.1118097	44	19
12	1634996658.3230264	45	19
13	1634996663.6000311	45	19
13	1634996669.1768959	45	19
14	1634996673.360672	45	19
14	1634996683.2650254	45	19
21	1634996688.5621028	45	19
21	1634996693.603857	45	19
22	1634996697.0636325	45	19
22	1634996702.112575	45	19
23	1634996706.439953	45	19
23	1634996711.7062893	45	19
24	1634996715.2161582	45	19
24	1634996742.9622867	45	19
29	1634996750.3160384	46	19
28	1634996759.3993578	46	19
29	1634996771.182632	46	19
27	1634996780.6861823	46	19
28	1634996785.9173026	46	19
27	1634996791.942861	46	19
26	1634996796.43493	46	19
26	1634996801.7018113	46	19
25	1634996806.9036686	46	19
25	1634996831.885784	45	19
31	1634996839.5125165	45	19
31	1634996846.3850126	45	19
32	1634996858.9720414	45	20
32	1634996871.489171	45	20
32	1634996876.7552671	45	20
33	1634996884.466747	45	20
33	1634996889.283193	45	20
34	1634996896.0367012	45	20
34	1634996899.768272	45	20
35	1634996937.587606	46	20
35	1634996942.68989	46	20
39	1634996950.5607135	46	20
39	1634996955.0222707	46	20
38	1634996960.0723946	45	20
38	1634996967.1287215	45	20
37	1634996974.2025778	49	20
37	1634996979.391189	50	20
36	1634997006.5013554	49	20
36	1634997016.8002713	45	20
50	1634997027.1235747	45	20
50	1634997032.6072404	45	20
49	1634997039.7189558	45	20
49	1634997045.336668	45	20
48	1634997050.3561106	45	20
48	1634997055.5157325	45	20
47	1634997061.815103	45	20
47	1634997066.3867779	45	20
46	1634997073.0232167	45	20
46	1634997077.7269897	45	20
45	1634997083.7519941	45	20
45	1634997090.1030324	45	20
44	1634997094.9276416	45	20
44	1634997102.5487306	45	20
43	1634997112.010453	45	20
43	1634997117.320727	45	20
42	1634997124.0023975	45	20
42	1634997130.7616892	45	20
41	1634997141.2201986	45	20
41	1634997157.0849748	45	19
40	1634997170.3789027	45	19
40	1634997211.7787178	45	18
61	1634997297.1624765	47	18
62	1634997307.9747846	48	19
61	1634997315.6245406	48	19
62	1634997323.073247	48	19
63	1634997329.5476055	48	19
63	1634997337.6129434	48	19
64	1634997346.9701624	51	19
64	1634997360.5694692	54	19
65	1634997395.6175754	52	19
65	1634997412.3450212	50	19
66	1634997421.7634652	49	19
66	1634997430.8456483	49	19
67	1634997435.9331105	48	19
67	1634997441.1751363	48	19
68	1634997445.5020566	48	19
68	1634997450.6143298	48	19
69	1634997456.6008759	48	19
69	1634997460.9810727	48	19
70	1634997469.0643687	47	19
70	1634997477.3983319	48	19
59	1634997489.2716885	47	19
59	1634997495.9719532	47	19
58	1634997503.9391646	47	19
58	1634997517.9239554	47	19
57	1634997522.4189808	47	19
57	1634997532.776466	47	19
56	1634997539.652799	47	19
56	1634997547.635654	47	19
55	1634997554.4261053	47	19
55	1634997559.7174745	47	19
54	1634997568.3147357	47	20
54	1634997577.0274427	46	20
53	1634997582.550054	47	20
53	1634997599.204068	47	20
52	1634997619.7857277	47	20
52	1634997631.6244419	46	20
