id	timestamp	humidity	temperature
1	1634996420.7218378	44	20
2	1634996426.332796	44	20
2	1634996431.2168887	44	20
3	1634996438.0273454	44	20
3	1634996441.2507713	44	20
4	1634996456.452303	44	20
4	1634996460.942597	43	20
5	1634996467.0238478	43	20
5	1634996470.5880077	43	19
6	1634996476.8816109	43	19
6	1634996483.7422755	44	19
7	1634996489.9979756	44	19
7	1634996493.8802402	44	19
8	1634996503.482138	44	19
8	1634996507.8355417	44	19
9	1634996520.1242878	44	19
9	1634996525.1913457	44	19
19	1634996546.598691	45	19
19	1634996553.4286013	45	19
18	1634996566.1522622	45	19
